PRDT_CD,ITEM_GROUP,SH_STOCK_QTY,FILE,IMG_URL
M26N3AHTB056N,볼캡/햇/비니,19,M26N3AHTB056N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3AHTB056N50BRD/thnail/AF4D8C6534BD4FC3BF70B63761169CCD.png/dims/resize/1200x1200
M26N3AHTB906N,볼캡/햇/비니,18,M26N3AHTB906N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3AHTB906N50BKS/thnail/4D4A5A83AF4B451F9DF66B8BB4D91D1C.png/dims/resize/1200x1200
M25N3ACPB115N,볼캡/햇/비니,15,M25N3ACPB115N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB115N50BGD/thnail/369493FFB8A54327BEE8975719053E2B.png/dims/resize/1200x1200
M26N3ACPB906N,볼캡/햇/비니,14,M26N3ACPB906N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB906N50BKS/thnail/1FD1B2E7BF44480F851C643DDB9D32A7.png/dims/resize/1200x1200
M26F3ABNB0966,볼캡/햇/비니,11,M26F3ABNB0966.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ABNB096650LDP/thnail/E87A26ED07FE4BA6B5A6C2DDAC186FB5.png/dims/resize/1200x1200
M26N3ACPB916N,볼캡/햇/비니,11,M26N3ACPB916N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB916N50BKS/thnail/52EC37ACB50748D6A01A578B50D3A7FC.png/dims/resize/1200x1200
M26N3ACPV156N,볼캡/햇/비니,9,M26N3ACPV156N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPV156N50BKS/thnail/2105F2BB3BCA4F56A1D30BD277C61697.png/dims/resize/1200x1200
M26F3ACPB3266,볼캡/햇/비니,6,M26F3ACPB3266.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ACPB326607LDS/thnail/4D800939D08F4880B486FBB0C8498829.png/dims/resize/1200x1200
M25N3ACPBB25N,볼캡/햇/비니,5,M25N3ACPBB25N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPBB26N07NYS/thnail/CAE06800C96949DCA00BBDA26C255035.png/dims/resize/1200x1200
M25N3ACPB255N,볼캡/햇/비니,1,M25N3ACPB255N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB255N50BRD/thnail/6CE6BC484FD44DD5A0EE45383CF1441F.png/dims/resize/1200x1200
